Keys,English
"(Or, hold 'Enter' to start - Hold 'Esc' to skip)","(Or, hold 'Enter' to start - Hold 'Esc' to skip)"
- Automatically stops listening,- Automatically stops listening
- Includes grammar,- Includes grammar
- Lower accuracy,- Lower accuracy
- Much higher accuracy,- Much higher accuracy
- Multi-language support,- Multi-language support
- Requires 'Chrome' to be installed,- Requires 'Chrome' to be installed
1. Never launch OVR Toolkit through Oculus Home -This may launch the application incorrectly. 2. Please refer to the 'Oculus' page on our Wiki (by the button above) if OVR Toolkit doesn't appear in your games due to the game not running through OpenVR. 3. Please note that running games through OpenVR may reduce their performance as you will be rendering SteamVR and the Oculus compositor. This is unavoidable with any overlay application on Steam! Don't hesitate to join our Discord for help! :),"1. Never launch OVR Toolkit through Oculus Home -This may launch the application incorrectly.

2. Please refer to the 'Oculus' page on our Wiki (by the button above) if OVR Toolkit doesn't appear in your games due to the game not running through OpenVR.

3. Please note that running games through OpenVR may reduce their performance as you will be rendering SteamVR and the Oculus compositor. This is unavoidable with any overlay application on Steam!

Don't hesitate to join our Discord for help! :)"
Accent brightness,Accent brightness
Accent colour,Accent colour
Add Hotkey,Add hotkey
Add Module,Add Module
Add key press,Add key press
Add macro,Add macro
Add new module,Add new module
Admin check failed,Admin check failed
Advanced,Advanced
Alarm,Alarm
Alarm cancelled,Alarm cancelled
Alarm set:,Alarm set:
Alt tab on changing windows:,Alt tab on changing windows:
An event you're interested in is starting in under 1 hour!,An event you're interested in is starting in under 1 hour!
An event you're interested in is starting in under 30 minutes!,An event you're interested in is starting in under 30 minutes!
An event you're interested in is starting! Open Edit Mode for join instructions.,An event you're interested in is starting! Open Edit Mode for join instructions.
Angle snapping,Angle snapping
"Angle snapping, face headset, automatic curving","Angle snapping, face headset, automatic curving"
Are you sure?,Are you sure?
Attach fpsVR,Attach fpsVR
Attach to HMD,Attach to HMD
Attached,Attached
Author,Author
Auto performance adjustments:,Auto performance adjustments:
Automatically alt tab into games:,Automatically alt tab into games:
Automatically curve windows,Automatically curve windows
Back,Back
Background,Background:
"Background image, keyboard language, Steam Workshop, accent colours","Background image, accent colours, notifications, night light"
Backspace,Backspace
Backwards,Backwards
Base Author,Base Author
Best effort (Intensive!),Max framerate (Intensive!)
Best effort can only be used with desktop captures!,Max framerate can only be used with desktop captures!
Best effort cannot be used on monitors not connected to your main GPU!,Max framerate cannot be used on monitors not connected to your main GPU!
Block Input to other applications,Block Input to other applications
Block cursor input,Block cursor input
Block input,Block input
Bottom,Bottom
Brightness Range,Brightness Range
Bring to me,Bring to me
Calibrating battery monitoring,Calibrating battery monitoring
Cancel,Cancel
Cancel alarm through the Wristwatch clock tab.,Wakey wakey! Cancel alarm through the Wristwatch clock tab.
Cancel timer through the Wristwatch clock tab.,Time's up! Cancel timer through the Wristwatch clock tab.
Category,Category
Change profile,Change profile
Changing the hiding angle is only possible when the overlay is attached to a device.,Changing the hiding angle is only possible when the overlay is attached to a device.
Charging,Charging
Chroma key,Chroma key
Chroma key enabled,Chroma key enabled
Clean install,Clean install
Click 'Set Contents' to change what a window is displaying.,Click 'Set Contents' to change what a window is displaying.
Click 'Spawn Window' to create a new window.,Click 'Spawn Window' to create a new window.
Click hotkeys to remove,Click shortcuts to remove
Click or press 'R' to search again.,Click 'Search' or press 'R' to search again.
Click the gear icon to open Edit Mode,Click the gear icon to open 'Edit Mode'
Close,Close
Close 'Edit Mode' again by clicking the gear icon.,Close 'Edit Mode' again by clicking the gear icon.
Close 'Edit Mode' again by pressing F8.,Close 'Edit Mode' again by pressing F8.
Close all windows,Close all windows
Close the dashboard to use OVR Toolkit,Close the dashboard to use OVR Toolkit
"Closing 'Edit Mode' will only close the menu. To toggle your created windows on and off without entering or exiting Edit Mode, press F7.","Closing 'Edit Mode' will only close the menu.
To toggle your created windows on and off without entering or exiting Edit Mode, press F7."
"Closing 'Edit Mode' will toggle off your windows, however, you can keep them visible by enabling the 'Keep Visible' option in 'Window Settings'.","Closing 'Edit Mode' will toggle off your windows, however, you can keep them visible by enabling the 'Keep Visible' option in 'Window Settings'."
"Compact UI, legacy Edit Mode, resize menu","Compact UI, legacy Edit Mode, resize menu"
Configure wrist overlay,Configure wrist overlay
Confirm,Confirm
"Connection lost, please restart OVR Toolkit!","Connection lost, please restart OVR Toolkit!"
Continuous voice recognition,Continuous voice recognition
Crashed? Try this:,Crashed? Try this:
Create,Create
Create Event,Create Event
Credits:,Credits:
Crop window,Crop window
Current windows,Current windows
Curve,Curve
Curved overlays,Curved overlays
Curved overlays are only available when a window isn't attached to a controller,Curved overlays are only available when a window isn't attached to a controller
Custom icons,Custom icons
Customise,Customise
Customize background,Customize background
Cycle Profile Backwards,Cycle Profile Backwards
Cycle Profile Forward,Cycle Profile Forward
Delete,Delete
Delete event?,Delete event?
Delete preset,Delete preset
Description,Description
"Description too long, please limit to 3000 characters.","Description too long, please limit to 3000 characters."
Desktop,Desktops
Disable GPU Capture,Disable Gpu Capture
Disable sound,Disable keyboard sound
Display RAM instead of VRAM,Display RAM instead of VRAM
Display remaining battery in minutes,Display remaining battery in minutes
Do you want to start this application?,Do you want to start this application?
Don't show again,Don't show again
Don't use Steam or Discord? Send me an e-mail at: curtis@ovrtoolkit.co.uk,Don't use Steam or Discord? Send me an e-mail at: curtis@ovrtoolkit.co.uk
Down,Down
Drop a window on the attach point on a hand to attach a window to your hand.,Drop a window on the attach point on a hand to attach a window to your hand.
Drop a window on the detach point to detatch the window from your hand.,Drop a window on the detach point to detatch the window from your hand.
Eco Mode,Eco Mode
Eco Mode is still enabled. Disable it in 'Window Settings' to keep higher frame rate.,Eco Mode is still enabled. Disable it in 'Window Settings' to keep higher frame rate.
Edit Mode,Edit Mode
"Edit Mode allows you to create new windows, move them, and select what they display.","Edit Mode allows you to create new windows, move them, and select what they display."
Edit controller bindings,Edit controller bindings
Edit hotkeys,Edit shortcuts
Educational,Educational
Enable Performance Mode,Enable Eco Mode
Enable UI moving,Enable moving Edit Mode menu
Enable rotation lock,Enable rotation lock
Enable swipe typing,Enable swipe typing
Enable window docking,Enable window docking
Enable word suggestions,Enable word suggestions
Enable wrist UI moving,Enable moving Wristwatch
Enable wrist overlay,Enable wrist overlay
"Enable, switch hands, change modules, resize overlay","Enable, switch hands, change modules, resize overlay"
End,End
Enter the 'Window List' menu and select 'Spawn Window'.,Enter the 'Window List' menu and select 'Spawn Window'.
Enter the 'Window Settings' menu and select 'Move Window'.,Enter the 'Window Settings' menu and select 'Move Window'.
