"(Or, hold 'Enter' to start - Hold 'Esc' to skip)",（または、「Enter」を押したままにして開始します-「Esc」を押したままにしてスキップします）
- Automatically stops listening,-自動的にリスニングを停止します
- Includes grammar,-文法が含まれています
- Lower accuracy,-精度が低い
- Much higher accuracy,-はるかに高い精度
- Multi-language support,-多言語サポート
- Requires 'Chrome' to be installed,-「Chrome」がインストールされている必要があります
1. Never launch OVR Toolkit through Oculus Home -This may launch the application incorrectly. 2. Please refer to the 'Oculus' page on our Wiki (by the button above) if OVR Toolkit doesn't appear in your games due to the game not running through OpenVR. 3. Please note that running games through OpenVR may reduce their performance as you will be rendering SteamVR and the Oculus compositor. This is unavoidable with any overlay application on Steam! Don't hesitate to join our Discord for help! :),"1. Oculus HomeからOVR Toolkitを起動しないでください-アプリケーションが正しく起動しない場合があります。

2. OpenVRを介して実行されていないゲームが原因でOVRツールキットがゲームに表示されない場合は、Wikiの「Oculus」ページ（上のボタンをクリック）を参照してください。

3. SteamVRとOculusコンポジターをレンダリングするため、OpenVRでゲームを実行すると、パフォーマンスが低下する可能性があることに注意してください。これは、Steamのオーバーレイアプリケーションでは避けられません！

ぜひDiscordに参加してください。 :)"
Accent brightness,アクセントの明るさ
Accent colour,アクセントカラー
Add Hotkey,ホットキーを追加
Add Module,モジュールを追加
Add key press,キープレスを追加
Add macro,マクロを追加
Add new module,新しいモジュールを追加する
Admin check failed,管理者チェックが 失敗しました
Advanced,高度
Alarm,警報
Alarm cancelled,アラームがキャンセルされました
Alarm set:,アラームセット:
Alt tab on changing windows:,ウィンドウを 切り替えるときに Alt-tabする：
An event you're interested in is starting in under 1 hour!,興味のあるイベントが1時間以内に始まります！
An event you're interested in is starting in under 30 minutes!,興味のあるイベントが30分足らずで始まります！
An event you're interested in is starting! Open Edit Mode for join instructions.,興味のあるイベントが始まります！参加手順については、編集モードを開きます。
Angle snapping,角度スナップ
"Angle snapping, face headset, automatic curving",アングルスナップ、フェイスヘッドセット、自動カーブ
Are you sure?,本当に閉じますか？
Attach fpsVR,fpsVRを添付する
Attach to HMD,HMDに接続する
Attached,付属
Author,著者
Auto performance adjustments:,自動パフォーマンス調整：
Automatically alt tab into games:,タブをゲームに自動的に変更します。
Automatically curve windows,ウィンドウを自動的にカーブさせる
Back,バック
Background,背景
"Background image, keyboard language, Steam Workshop, accent colours",背景画像、アクセントカラー、通知、常夜灯
Backspace,バックスペース
Backwards,後方
Base Author,ベース著者
Best effort (Intensive!),ベストエフォート（ インテンシブ ！）
Best effort can only be used with desktop captures!,ベストエフォートはデスクトップキャプチャでのみ使用できます！
Best effort cannot be used on monitors not connected to your main GPU!,メインGPUに接続されていないモニターではベストエフォートを使用できません。
Block Input to other applications,他のアプリケーションへの入力を ブロック
Block cursor input,カーソル入力を ブロック
Block input,入力を ブロック
Bottom,下
Brightness Range,輝度範囲
Bring to me,ウインドウを自分のところへ持ってくる
Calibrating battery monitoring,バッテリー監視の調整
Cancel,キャンセル
