"(Or, hold 'Enter' to start - Hold 'Esc' to skip)",(또는 시작하려면 'Enter' 키를 오래 누르고 건너뛰려면 'Esc' 키를 오래 누르세요)
- Automatically stops listening,- 자동으로 리스닝 중지
- Includes grammar,- 문법 포함
- Lower accuracy,- 낮은 정확도
- Much higher accuracy,- 훨씬 더 높은 정확도
- Multi-language support,- 다국어 지원
- Requires 'Chrome' to be installed,- '크롬'이 설치되어 있어야 합니다.
1. Never launch OVR Toolkit through Oculus Home -This may launch the application incorrectly. 2. Please refer to the 'Oculus' page on our Wiki (by the button above) if OVR Toolkit doesn't appear in your games due to the game not running through OpenVR. 3. Please note that running games through OpenVR may reduce their performance as you will be rendering SteamVR and the Oculus compositor. This is unavoidable with any overlay application on Steam! Don't hesitate to join our Discord for help! :),"1. Oculus Home을 통해 OVR 툴킷을 시작하지 마십시오. 응용 프로그램이 잘못 실행될 수 있습니다.

2. OpenVR을 통해 실행되지 않는 게임으로 인해 OVR 툴킷이 게임에 나타나지 않으면 Wiki의 'Oculus'페이지를 참조하십시오 (위의 버튼으로).

3. SteamVR과 Oculus컴포지터를 렌더링 할 때 OpenVR을 통해 게임을 실행하면 성능이 저하 될 수 있습니다. Steam 오버레이 응용 프로그램에서는 피할 수 없는 문제입니다!

주저하지 말고 Discord에 도움을 요청하십시오! :)"
Accent brightness,강조색 밝기
Accent colour,강조색 색상
Add Hotkey,단축키 추가
Add Module,모듈 추가
Add key press,키 입력 추가
Add macro,매크로 추가
Add new module,새 모듈 추가
Admin check failed,관리자 확인 실패
Advanced,고급
Alarm,경보
Alarm cancelled,알람 취소됨
Alarm set:,알람 설정:
Alt tab on changing windows:,창 변경시 Alt 탭 :
An event you're interested in is starting in under 1 hour!,관심 있는 이벤트가 1시간 이내에 시작됩니다!
An event you're interested in is starting in under 30 minutes!,관심 있는 이벤트가 30분 이내에 시작됩니다!
An event you're interested in is starting! Open Edit Mode for join instructions.,관심있는 이벤트가 시작됩니다! 참가 지침을 보려면 편집 모드를 엽니다.
Angle snapping,앵글 스냅
"Angle snapping, face headset, automatic curving","앵글 스냅, 헤드셋을 바라보는 방향, 자동 커브"
Are you sure?,확실합니까?
Attach fpsVR,fpsVR을 부착
Attach to HMD,HMD에 부착
Attached,부착됨
Author,저자
Auto performance adjustments:,자동 성능 조정:
Automatically alt tab into games:,자동으로 탭을 게임으로 이동:
Automatically curve windows,창을 자동으로 휨
Back,뒤
Background,배경:
"Background image, keyboard language, Steam Workshop, accent colours","배경 이미지, 강조 색상, 알림, 야간 조명"
Backspace,백 스페이스
Backwards,뒤로
Base Author,기본 저자
Best effort (Intensive!),최대 프레임레이트 (격렬함!)
Best effort can only be used with desktop captures!,최대 프레임 레이트는 데스크탑 캡쳐에만 사용할 수 있습니다!
Best effort cannot be used on monitors not connected to your main GPU!,메인 GPU에 연결되지 않은 모니터에는 최대 프레임 레이트을 사용할 수 없습니다!
Block Input to other applications,다른 응용 프로그램에 대한 입력 차단
Block cursor input,커서 입력 차단
Block input,입력 차단
Bottom,아래
Brightness Range,밝기 범위
Bring to me,나에게 가져오기
Calibrating battery monitoring,배터리 모니터링 보정
Cancel,취소
Cancel alarm through the Wristwatch clock tab.,손목시계 시계 탭을 통해 알람을 취소합니다.
Cancel timer through the Wristwatch clock tab.,손목시계 시계 탭을 통해 타이머를 취소합니다.
Category,카테고리
Change profile,프로필 변경
Changing the hiding angle is only possible when the overlay is attached to a device.,숨겨지는 각도의 변경은 오버레이가 장치에 부착된 경우에만 가능합니다.
Charging,충전 중
Chroma key,크로마 키
Chroma key enabled,크로마 키 활성화
Clean install,클린 설치
Click 'Set Contents' to change what a window is displaying.,창에 표시되는 내용을 변경하려면 '내용 설정'을 클릭하십시오.
Click 'Spawn Window' to create a new window.,"""창 생성""을 클릭하여 새 창을 만듭니다."
Click hotkeys to remove,핫 키를 클릭하여 제거
Click or press 'R' to search again.,"""검색""을 클릭하거나 'R'을 눌러 다시 검색하십시오."
Click the gear icon to open Edit Mode,톱니 바퀴 아이콘을 클릭하여 편집 모드를 엽니다.
Close,닫기
Close 'Edit Mode' again by clicking the gear icon.,톱니 바퀴 아이콘을 클릭하여 '편집 모드'를 다시 닫습니다.
Close 'Edit Mode' again by pressing F8.,F8을 눌러 '편집 모드'를 다시 닫습니다.
Close all windows,모든 창 닫기
Close the dashboard to use OVR Toolkit,OVR Toolkit을 사용하려면 대시 보드를 닫으십시오.
"Closing 'Edit Mode' will only close the menu. To toggle your created windows on and off without entering or exiting Edit Mode, press F7.","""편집 모드""를 닫으면 메뉴만 닫힙니다.
편집 모드를 시작하거나 종료하지 않고 생성된 창을 켜고 끄려면 F7 키를 누릅니다."
"Closing 'Edit Mode' will toggle off your windows, however, you can keep them visible by enabling the 'Keep Visible' option in 'Window Settings'.","""편집 모드""를 닫으면 창이 꺼지지만 '창 설정'에서 '표시 유지' 옵션을 활성화하여 창을 계속 표시 할 수 있습니다."
"Compact UI, legacy Edit Mode, resize menu","컴팩트 UI, 레거시 편집 모드, 크기 조정 메뉴"
Configure wrist overlay,손목 오버레이 구성
Confirm,확인
"Connection lost, please restart OVR Toolkit!",연결이 끊어졌습니다. OVR Toolkit을 다시 시작하세요!
Continuous voice recognition,지속적인 음성 인식
Crashed? Try this:,충돌이 발생했나요? 이것을 시도해보세요:
Create,생성
Create Event,이벤트 생성
Credits:,크레딧 :
Crop window,창 자르기
Current windows,현재 창
Curve,커브
Curved overlays,커브드 오버레이
Curved overlays are only available when a window isn't attached to a controller,커브드 오버레이는 창이 컨트롤러에 부착되지 않은 경우에만 사용할 수 있습니다
Custom icons,커스텀 아이콘
Customise,커스터마이징
Customize background,커스텀 배경화면
Cycle Profile Backwards,프로필을 거꾸로 순환
Cycle Profile Forward,프로필을 앞으로 순환
Delete,삭제
Delete event?,이벤트를 삭제하시겠습니까?
Delete preset,프리셋 삭제
Description,설명
"Description too long, please limit to 3000 characters.",설명이 너무 깁니다. 3000자 이내로 작성하세요.
Desktop,데스크탑
