"(Or, hold 'Enter' to start - Hold 'Esc' to skip)","(Ou, segure 'Enter' para iniciar - Segure 'Esc' para pular)"
- Automatically stops listening,- Pára de ouvir automaticamente
- Includes grammar,- Inclui gramática
- Lower accuracy,- Menor precisão
- Much higher accuracy,- Precisão muito maior
- Multi-language support,- Suporte multilíngue
- Requires 'Chrome' to be installed,- Requer 'Chrome' para ser instalado
1. Never launch OVR Toolkit through Oculus Home -This may launch the application incorrectly. 2. Please refer to the 'Oculus' page on our Wiki (by the button above) if OVR Toolkit doesn't appear in your games due to the game not running through OpenVR. 3. Please note that running games through OpenVR may reduce their performance as you will be rendering SteamVR and the Oculus compositor. This is unavoidable with any overlay application on Steam! Don't hesitate to join our Discord for help! :),"1. Nunca inicie o OVR Toolkit através do Oculus Home. Isso pode iniciar o aplicativo incorretamente.

2. Consulte a página 'Oculus' em nosso Wiki (pelo botão acima) se o OVR Toolkit não aparecer nos seus jogos devido ao jogo não ser executado no OpenVR.

3. Observe que a execução de jogos pelo OpenVR pode reduzir o desempenho deles, pois você renderizará o SteamVR e o compositor Oculus. Isso é inevitável com qualquer aplicativo de sobreposição no Steam!

Não hesite em se juntar ao nosso Discord para obter ajuda! :)"
Accent brightness,Brilho de destaque
Accent colour,Cor de destaque
Add Hotkey,Adicionar tecla de atalho
Add Module,Adicionar Módulo
Add key press,Adicionar pressionamento de tecla
Add macro,Adicionar macro
Add new module,Adicionar novo módulo
Admin check failed,Falha na verificação do administrador
Advanced,Avançado
Alarm,Alarme
Alarm cancelled,Alarme cancelado
Alarm set:,Alarme definido:
Alt tab on changing windows:,Guia Alt para alterar as janelas:
An event you're interested in is starting in under 1 hour!,Um evento no qual você está interessado começará em menos de 1 hora!
An event you're interested in is starting in under 30 minutes!,Um evento do seu interesse começará em menos de 30 minutos!
An event you're interested in is starting! Open Edit Mode for join instructions.,Um evento de seu interesse está começando! Abra o Modo de Edição para obter instruções de junção.
Angle snapping,Angle snapping
"Angle snapping, face headset, automatic curving","Ajuste de ângulo, fone de ouvido facial, curva automática"
Are you sure?,Você tem certeza?
Attach fpsVR,Anexar fpsVR
Attach to HMD,Anexar ao HMD
Attached,Em Anexo
Author,Autor
Auto performance adjustments:,Ajustes de desempenho automático:
Automatically alt tab into games:,Guia alternativo automaticamente para jogos:
Automatically curve windows,Janelas curvas automaticamente
Back,Costas
Background,Fundo
"Background image, keyboard language, Steam Workshop, accent colours","Imagem de fundo, cores de destaque, notificações, luz noturna"
Backspace,Backspace
Backwards,Para Trás
Base Author,Autor Base
Best effort (Intensive!),Melhor esforço (intensivo!)
Best effort can only be used with desktop captures!,O melhor esforço pode ser usado apenas com capturas de desktop!
Best effort cannot be used on monitors not connected to your main GPU!,O melhor esforço não pode ser usado em monitores não conectados à sua GPU principal!
Block Input to other applications,Bloquear entrada para outros aplicativos
Block cursor input,Bloquear entrada do cursor
Block input,Entrada de bloco
Bottom,Inferior
Brightness Range,Faixa De Brilho
Bring to me,Traga para mim
Calibrating battery monitoring,Calibrando monitoramento de bateria
Cancel,Cancelar
Cancel alarm through the Wristwatch clock tab.,Cancele o alarme através da guia Relógio de pulso.
Cancel timer through the Wristwatch clock tab.,Cancele o cronômetro na guia Relógio de pulso.
Category,Categoria
Change profile,Mudar perfil
Changing the hiding angle is only possible when the overlay is attached to a device.,A alteração do ângulo de ocultação só é possível quando a sobreposição está conectada a um dispositivo.
Charging,Cobrando
Chroma key,Chroma key
Chroma key enabled,Chroma key habilitado
Clean install,Instalação limpa
Click 'Set Contents' to change what a window is displaying.,Clique em 'Definir conteúdo' para alterar o que a janela está exibindo.
Click 'Spawn Window' to create a new window.,Clique em 'Spawn Window' para criar uma nova janela.
Click hotkeys to remove,Clique nas teclas de atalho para remover
Click or press 'R' to search again.,Clique em 'Pesquisar' ou pressione 'R' para pesquisar novamente.
Click the gear icon to open Edit Mode,Clique no ícone de engrenagem para abrir o Modo de edição
Close,Fechar
Close 'Edit Mode' again by clicking the gear icon.,Feche o 'Modo de edição' novamente clicando no ícone de engrenagem.
Close 'Edit Mode' again by pressing F8.,Feche o 'Modo de Edição' novamente pressionando F8.
Close all windows,Feche todas as janelas
Close the dashboard to use OVR Toolkit,Feche o painel para usar o OVR Toolkit
"Closing 'Edit Mode' will only close the menu. To toggle your created windows on and off without entering or exiting Edit Mode, press F7.","Fechar o 'Modo de edição' apenas fechará o menu.
Para ativar e desativar as janelas criadas sem entrar ou sair do Modo de Edição, pressione F7."
"Closing 'Edit Mode' will toggle off your windows, however, you can keep them visible by enabling the 'Keep Visible' option in 'Window Settings'.","Fechar o 'Modo de edição' desativará suas janelas, no entanto, você pode mantê-las visíveis ativando a opção 'Manter visível' em 'Configurações da janela'."
"Compact UI, legacy Edit Mode, resize menu","IU compacta, modo de edição legado, menu de redimensionamento"
Configure wrist overlay,Configurar sobreposição de pulso
Confirm,Confirme
"Connection lost, please restart OVR Toolkit!","Conexão perdida, reinicie o OVR Toolkit!"
Continuous voice recognition,Reconhecimento de voz contínuo
